firstName,lastName,gender,designation,subjects,email,phone,address
Andrew,Davis,FEMALE,Counselor,Bangla;Biology,andrew.davis.teacher0@school.edu,555-9521-8465,3443 Faculty Ave, Townsville
Jennifer,King,MALE,Lecturer,Bangla;Science;English,jennifer.king.teacher1@school.edu,555-1722-4892,3872 Faculty Ave, Townsville
Elizabeth,Perez,FEMALE,Department Head,Biology;Physics;Chemistry,elizabeth.perez.teacher2@school.edu,555-8534-4299,8952 Faculty Ave, Townsville
Anthony,Brown,MALE,Substitute Teacher,Chemistry;Physics;Biology,anthony.brown.teacher3@school.edu,555-2364-5541,7149 Faculty Ave, Townsville
Mark,Jackson,MALE,Lecturer,Physics;Biology,mark.jackson.teacher4@school.edu,555-7356-5748,614 Faculty Ave, Townsville
Daniel,Jones,FEMALE,Lecturer,ICT;History;Religion,daniel.jones.teacher5@school.edu,555-9454-8203,9119 Faculty Ave, Townsville
Michael,Sanchez,FEMALE,Senior Teacher,Biology;Bangla,michael.sanchez.teacher6@school.edu,555-8956-4233,8099 Faculty Ave, Townsville
Linda,Gonzalez,MALE,Substitute Teacher,Bangla;English,linda.gonzalez.teacher7@school.edu,555-8393-8518,5263 Faculty Ave, Townsville
Lisa,Lewis,FEMALE,Senior Teacher,Mathematics;Physics;Bangla,lisa.lewis.teacher8@school.edu,555-9392-2647,862 Faculty Ave, Townsville
Michelle,Rodriguez,FEMALE,Counselor,Biology;Chemistry;Physics,michelle.rodriguez.teacher9@school.edu,555-2967-3381,5718 Faculty Ave, Townsville
Karen,Wilson,MALE,Assistant Teacher,Physics;English;Biology,karen.wilson.teacher10@school.edu,555-3379-4547,4535 Faculty Ave, Townsville
Sandra,Wright,FEMALE,Substitute Teacher,Science;Religion;Mathematics,sandra.wright.teacher11@school.edu,555-5436-1494,2751 Faculty Ave, Townsville
Thomas,Lewis,MALE,Substitute Teacher,History;ICT;Chemistry,thomas.lewis.teacher12@school.edu,555-3126-9845,3428 Faculty Ave, Townsville
Joshua,Flores,FEMALE,Substitute Teacher,Mathematics;Bangla,joshua.flores.teacher13@school.edu,555-4048-6024,9264 Faculty Ave, Townsville
Donald,Scott,FEMALE,Substitute Teacher,ICT;History;Religion,donald.scott.teacher14@school.edu,555-5141-4948,8542 Faculty Ave, Townsville
Joshua,Lee,MALE,Counselor,Mathematics;Bangla;English,joshua.lee.teacher15@school.edu,555-8875-2163,2004 Faculty Ave, Townsville
